TimestampUTC,Symbol,Action,Side,Quantity,AvgPrice,OrderID,Reason,Notes
2025-05-03 07:50:41,FARTCOIN/USDT:USDT,EXIT,SHORT,4E+1,NaN,292bbbec-f937-441d-95c5-889fc5441722,EmergencyClose:FailedStopSet,
2025-05-03 07:51:10,FARTCOIN/USDT:USDT,EXIT,SHORT,39,NaN,8085bf2b-cdcc-462e-85fa-387531f26a62,EmergencyClose:FailedStopSet,
2025-05-10 10:16:53,FARTCOIN/USDT:USDT,EXIT,LONG,14,NaN,804430a0-1475-4d1d-9be7-39c9aabdd0d1,EmergencyClose:FailedInitialStopSet,
2025-05-10 10:17:07,FARTCOIN/USDT:USDT,EXIT,LONG,13,NaN,5681c463-8d85-47ac-9ab7-572928478c37,EmergencyClose:FailedInitialStopSet,
2025-05-10 10:18:44,FARTCOIN/USDT:USDT,EXIT,LONG,13,NaN,1bf42510-8564-4eea-8e20-bfd8fb2b4a33,EmergencyClose:FailedInitialStopSet,
2025-05-10 10:18:58,FARTCOIN/USDT:USDT,EXIT,LONG,13,NaN,dc1ec622-12f7-4b2a-95e7-5e54dde171e2,EmergencyClose:FailedInitialStopSet,
2025-05-10 10:19:11,FARTCOIN/USDT:USDT,EXIT,LONG,12,NaN,fc4d2e17-15e3-4086-abb9-3f3f247ba5a4,EmergencyClose:FailedInitialStopSet,
2025-05-10 10:35:26,FARTCOIN/USDT:USDT,EXIT,SHORT,11,NaN,94221809-8e53-403c-a4f2-34cdc17e5c30,EmergencyClose:FailedInitialStopSet,
2025-05-10 10:35:42,FARTCOIN/USDT:USDT,EXIT,SHORT,11,NaN,dcb99946-cd05-4c6c-88f5-54570c495161,EmergencyClose:FailedInitialStopSet,
2025-05-10 10:35:55,FARTCOIN/USDT:USDT,EXIT,SHORT,1E+1,NaN,4dad081a-6c4f-4539-8c34-2e6af4d0adb1,EmergencyClose:FailedInitialStopSet,
2025-05-10 10:36:11,FARTCOIN/USDT:USDT,EXIT,SHORT,1E+1,NaN,281ec80f-9ef6-4819-a29f-a76fa31f2552,EmergencyClose:FailedInitialStopSet,
2025-05-10 10:41:32,FARTCOIN/USDT:USDT,EXIT,SHORT,8,NaN,75d2ac64-786f-4f3d-ad41-1c55ccbac35a,EmergencyClose:FailedInitialStopSet,
2025-05-10 10:47:39,FARTCOIN/USDT:USDT,EXIT,SHORT,9,NaN,eebb9dcd-8e94-41c6-97e3-5163a4dabc6b,EmergencyClose:FailedInitialStopSet,
2025-05-10 10:47:57,FARTCOIN/USDT:USDT,EXIT,SHORT,9,NaN,d1f5d0dd-1023-4bcc-bc64-57c4334adac7,EmergencyClose:FailedInitialStopSet,
2025-05-10 10:48:12,FARTCOIN/USDT:USDT,EXIT,SHORT,8,NaN,06587a09-7b19-459a-a9cc-cf9c1b70f7cb,EmergencyClose:FailedInitialStopSet,
2025-05-10 10:53:13,FARTCOIN/USDT:USDT,EXIT,SHORT,8,NaN,6a0260ed-fe24-4c5e-a9a4-7aeeb4961763,EmergencyClose:FailedInitialStopSet,
2025-05-10 11:01:24,FARTCOIN/USDT:USDT,EXIT,SHORT,8,NaN,60408f40-23c0-4e99-8758-d841f13577e4,EmergencyClose:FailedInitialStopSet,
2025-05-10 11:01:37,FARTCOIN/USDT:USDT,EXIT,SHORT,8,NaN,e5cf5392-07c8-483d-842b-fb814e4ae73b,EmergencyClose:FailedInitialStopSet,
2025-05-10 11:01:52,FARTCOIN/USDT:USDT,EXIT,SHORT,8,NaN,683669ef-0301-4c97-82ac-5725a611d3f4,EmergencyClose:FailedInitialStopSet,
2025-05-10 11:19:24,FARTCOIN/USDT:USDT,EXIT,SHORT,43,NaN,0252d5d9-215a-451d-b3fb-168f25e28b20,EmergencyClose:FailedInitialStopSet,
2025-05-10 11:21:12,FARTCOIN/USDT:USDT,EXIT,SHORT,27,NaN,1ae43c75-d9c5-465c-b2ec-2d69e6d0bd52,EmergencyClose:FailedInitialStopSet,
2025-05-10 11:32:22,FARTCOIN/USDT:USDT,EXIT,SHORT,28,NaN,40954975-4b2d-4268-95b4-23a4336dcf5c,EmergencyClose:FailedInitialStopSet,
2025-05-10 11:32:35,FARTCOIN/USDT:USDT,EXIT,SHORT,26,NaN,7d22ed84-3f32-466d-8ea5-248f6552f42b,EmergencyClose:FailedInitialStopSet,
2025-05-10 11:32:51,FARTCOIN/USDT:USDT,EXIT,SHORT,24,NaN,83a63829-f093-4a92-a481-b18ace5d5c7f,EmergencyClose:FailedInitialStopSet,
2025-05-10 11:34:27,FARTCOIN/USDT:USDT,EXIT,SHORT,32,NaN,41935cb2-8d7d-42dd-a4a0-0aa3ef5014f4,EmergencyClose:FailedInitialStopSet,
2025-05-10 11:34:40,FARTCOIN/USDT:USDT,EXIT,SHORT,31,NaN,add214dd-f9b1-4b6f-84c9-670ebb7d5c55,EmergencyClose:FailedInitialStopSet,
2025-05-10 11:34:54,FARTCOIN/USDT:USDT,EXIT,SHORT,31,NaN,dc2616d5-ecbf-45dc-8708-a7848f588d97,EmergencyClose:FailedInitialStopSet,
2025-05-10 11:35:09,FARTCOIN/USDT:USDT,EXIT,SHORT,22,NaN,75e622ab-bed1-4445-85b6-e0ca31f2c231,EmergencyClose:FailedInitialStopSet,
2025-05-10 11:39:23,FARTCOIN/USDT:USDT,EXIT,SHORT,37,NaN,b3b0cee5-1f67-49ba-9212-b0f84d060ee6,EmergencyClose:FailedInitialStopSet,
