TimestampUTC,Symbol,Action,Side,Quantity,AvgPrice,OrderID,Reason,Notes
2025-05-11 13:43:58,BCH/USDT:USDT,EXIT,SHORT,0.04,NaN,d7fa52af-bd58-4fb0-8ce3-618568fe7412,EmergencyClose:FailedInitialStopSet,
2025-05-11 13:44:14,BCH/USDT:USDT,EXIT,SHORT,0.04,NaN,e909d372-e6d9-4d5e-8649-98e203d7a044,EmergencyClose:FailedInitialStopSet,
2025-05-11 13:44:32,BCH/USDT:USDT,EXIT,SHORT,0.04,NaN,493d49b4-147b-4e7b-a695-c2246d8a2ecb,EmergencyClose:FailedInitialStopSet,
2025-05-11 13:56:27,BCH/USDT:USDT,EXIT,SHORT,0.03,NaN,77c3c99c-c462-446d-8a13-c1a26e3b8082,EmergencyClose:FailedInitialStopSet,
2025-05-11 13:56:42,BCH/USDT:USDT,EXIT,SHORT,0.03,NaN,b4911bf4-d312-4f95-bd15-1f9550e8b03d,EmergencyClose:FailedInitialStopSet,
2025-05-11 13:56:58,BCH/USDT:USDT,EXIT,SHORT,0.03,NaN,af96a07d-d721-4d44-bfd7-52fef868a9c9,EmergencyClose:FailedInitialStopSet,
2025-05-11 13:57:13,BCH/USDT:USDT,EXIT,SHORT,0.03,NaN,c7f7fd89-d217-4085-b271-4817556820ad,EmergencyClose:FailedInitialStopSet,
2025-05-11 13:59:41,BCH/USDT:USDT,EXIT,SHORT,0.03,NaN,f24434c3-80c6-4222-aa00-8739ad596a32,EmergencyClose:FailedInitialStopSet,
2025-05-11 13:59:57,BCH/USDT:USDT,EXIT,SHORT,0.03,NaN,82c1a918-715d-4a15-b0cd-5381882d5711,EmergencyClose:FailedInitialStopSet,
2025-05-11 14:00:13,BCH/USDT:USDT,EXIT,SHORT,0.03,NaN,206ee366-5648-4922-85f5-4b9025f21e57,EmergencyClose:FailedInitialStopSet,
2025-05-11 14:00:29,BCH/USDT:USDT,EXIT,SHORT,0.04,NaN,196add64-d709-4cd7-b8a1-e895e61d109b,EmergencyClose:FailedInitialStopSet,
2025-05-11 14:11:27,BCH/USDT:USDT,EXIT,SHORT,0.04,NaN,76dc286a-637c-4ee2-99e4-84daf5101016,EmergencyClose:FailedInitialStopSet,
2025-05-11 14:11:44,BCH/USDT:USDT,EXIT,SHORT,0.04,NaN,539b4f44-8994-4494-9799-ac0d05e6d342,EmergencyClose:FailedInitialStopSet,
